19,39, Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
29,39, Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,39, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station
29,36, Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station,  Eunos MRT Station
29,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Dakota MRT Station
29,42,Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,42,Bishan MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station
29,38, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Eunos MRT Station
29,40, Yio Chu Kang MRT Station, Bishan MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,47,Kovan MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,47, Marymount MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Eunos MRT Station
